plot_id,trial,plot_no,seed_source,year,location,cycle,conditions,rep,block,subblock,col,row,entry,purpose,gid,tid,occ,site,planting_date,iyear,ilocation,itrial,icondition
18-OBR-YTBW-B5I-1001,YTBW_10,1001,,2018,Obregon,Y17-18,B5IR,1,,1,30,2,1001,,7806808,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1002,YTBW_10,1002,,2018,Obregon,Y17-18,B5IR,1,,1,29,2,1002,,4755014,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1003,YTBW_10,1003,,2018,Obregon,Y17-18,B5IR,1,,1,28,2,1003,,8235214,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1004,YTBW_10,1004,,2018,Obregon,Y17-18,B5IR,1,,1,27,2,1004,,8235216,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1005,YTBW_10,1005,,2018,Obregon,Y17-18,B5IR,1,,1,26,2,1005,,8235217,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1006,YTBW_10,1006,,2018,Obregon,Y17-18,B5IR,1,,2,25,2,1006,,8235218,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1007,YTBW_10,1007,,2018,Obregon,Y17-18,B5IR,1,,2,24,2,1007,,8235219,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1008,YTBW_10,1008,,2018,Obregon,Y17-18,B5IR,1,,2,23,2,1008,,8235220,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1009,YTBW_10,1009,,2018,Obregon,Y17-18,B5IR,1,,2,22,2,1009,,8235222,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-101,YTBW_01,101,,2018,Obregon,Y17-18,B5IR,1,,1,1,37,101,,7806808,46406,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1010,YTBW_10,1010,,2018,Obregon,Y17-18,B5IR,1,,2,21,2,1010,,8235224,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1011,YTBW_10,1011,,2018,Obregon,Y17-18,B5IR,1,,3,20,2,1011,,8235225,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1012,YTBW_10,1012,,2018,Obregon,Y17-18,B5IR,1,,3,19,2,1012,,8235226,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1013,YTBW_10,1013,,2018,Obregon,Y17-18,B5IR,1,,3,18,2,1013,,8235227,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1014,YTBW_10,1014,,2018,Obregon,Y17-18,B5IR,1,,3,17,2,1014,,8235228,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1015,YTBW_10,1015,,2018,Obregon,Y17-18,B5IR,1,,3,16,2,1015,,8235229,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1016,YTBW_10,1016,,2018,Obregon,Y17-18,B5IR,1,,4,16,3,1016,,8235230,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1017,YTBW_10,1017,,2018,Obregon,Y17-18,B5IR,1,,4,17,3,1017,,8235231,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1018,YTBW_10,1018,,2018,Obregon,Y17-18,B5IR,1,,4,18,3,1018,,8235241,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1019,YTBW_10,1019,,2018,Obregon,Y17-18,B5IR,1,,4,19,3,1019,,8235242,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-102,YTBW_01,102,,2018,Obregon,Y17-18,B5IR,1,,1,2,37,102,,4755014,46406,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1020,YTBW_10,1020,,2018,Obregon,Y17-18,B5IR,1,,4,20,3,1020,,8235243,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1021,YTBW_10,1021,,2018,Obregon,Y17-18,B5IR,1,,5,21,3,1021,,8235245,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1022,YTBW_10,1022,,2018,Obregon,Y17-18,B5IR,1,,5,22,3,1022,,8235246,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1023,YTBW_10,1023,,2018,Obregon,Y17-18,B5IR,1,,5,23,3,1023,,8235248,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1024,YTBW_10,1024,,2018,Obregon,Y17-18,B5IR,1,,5,24,3,1024,,8235249,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1025,YTBW_10,1025,,2018,Obregon,Y17-18,B5IR,1,,5,25,3,1025,,8235250,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1026,YTBW_10,1026,,2018,Obregon,Y17-18,B5IR,1,,6,26,3,1026,,8235251,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1027,YTBW_10,1027,,2018,Obregon,Y17-18,B5IR,1,,6,27,3,1027,,8235252,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1028,YTBW_10,1028,,2018,Obregon,Y17-18,B5IR,1,,6,28,3,1028,,8235257,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1029,YTBW_10,1029,,2018,Obregon,Y17-18,B5IR,1,,6,29,3,1029,,8235261,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-103,YTBW_01,103,,2018,Obregon,Y17-18,B5IR,1,,1,3,37,103,,8234853,46406,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1030,YTBW_10,1030,,2018,Obregon,Y17-18,B5IR,1,,6,30,3,1030,,8235262,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1031,YTBW_10,1031,,2018,Obregon,Y17-18,B5IR,2,,1,30,4,1027,,8235252,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1032,YTBW_10,1032,,2018,Obregon,Y17-18,B5IR,2,,1,29,4,1010,,8235224,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1033,YTBW_10,1033,,2018,Obregon,Y17-18,B5IR,2,,1,28,4,1002,,4755014,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1034,YTBW_10,1034,,2018,Obregon,Y17-18,B5IR,2,,1,27,4,1015,,8235229,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1035,YTBW_10,1035,,2018,Obregon,Y17-18,B5IR,2,,1,26,4,1012,,8235226,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1036,YTBW_10,1036,,2018,Obregon,Y17-18,B5IR,2,,2,25,4,1017,,8235231,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1037,YTBW_10,1037,,2018,Obregon,Y17-18,B5IR,2,,2,24,4,1023,,8235248,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1038,YTBW_10,1038,,2018,Obregon,Y17-18,B5IR,2,,2,23,4,1006,,8235218,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
18-OBR-YTBW-B5I-1039,YTBW_10,1039,,2018,Obregon,Y17-18,B5IR,2,,2,22,4,1028,,8235257,46415,1,CENEB-810,11/21/2017,18,OBR,YTBW,B5I
