Plot_ID,Median,Mode
18-OBR-YTBW-B5I-1001,82,67
18-OBR-YTBW-B5I-1002,74,58
18-OBR-YTBW-B5I-1003,73,68
18-OBR-YTBW-B5I-1004,66,58
18-OBR-YTBW-B5I-1005,68,60
18-OBR-YTBW-B5I-1006,68,61
18-OBR-YTBW-B5I-1007,84,70
18-OBR-YTBW-B5I-1008,78,76
18-OBR-YTBW-B5I-1009,78,73
18-OBR-YTBW-B5I-101,73,55
18-OBR-YTBW-B5I-1010,92,70
18-OBR-YTBW-B5I-1011,82,63
18-OBR-YTBW-B5I-1012,110,77
18-OBR-YTBW-B5I-1013,93,70
18-OBR-YTBW-B5I-1014,102,72
18-OBR-YTBW-B5I-1015,86,65
18-OBR-YTBW-B5I-1016,77,60
18-OBR-YTBW-B5I-1017,92,68
18-OBR-YTBW-B5I-1018,86,71
18-OBR-YTBW-B5I-1019,93,69
18-OBR-YTBW-B5I-102,64,51
18-OBR-YTBW-B5I-1020,94,75
18-OBR-YTBW-B5I-1021,91,68
18-OBR-YTBW-B5I-1022,76,66
18-OBR-YTBW-B5I-1023,86,61
18-OBR-YTBW-B5I-1024,75,62
18-OBR-YTBW-B5I-1025,69,62
18-OBR-YTBW-B5I-1026,61,54
18-OBR-YTBW-B5I-1027,68,55
18-OBR-YTBW-B5I-1028,71,55
18-OBR-YTBW-B5I-1029,67,60
18-OBR-YTBW-B5I-103,72,50
18-OBR-YTBW-B5I-1030,72,61
18-OBR-YTBW-B5I-1031,71,51
18-OBR-YTBW-B5I-1032,74,52
18-OBR-YTBW-B5I-1033,68,46
18-OBR-YTBW-B5I-1034,74,50
18-OBR-YTBW-B5I-1035,76,53
18-OBR-YTBW-B5I-1036,75,57
18-OBR-YTBW-B5I-1037,62,53
18-OBR-YTBW-B5I-1038,67,63
18-OBR-YTBW-B5I-1039,81,60
18-OBR-YTBW-B5I-104,71,55
18-OBR-YTBW-B5I-1040,73,60
18-OBR-YTBW-B5I-1041,98,68
18-OBR-YTBW-B5I-1042,111,79
18-OBR-YTBW-B5I-1043,88,60
18-OBR-YTBW-B5I-1044,81,56
18-OBR-YTBW-B5I-1045,70,51
18-OBR-YTBW-B5I-1046,66,38
18-OBR-YTBW-B5I-1047,76,51
18-OBR-YTBW-B5I-1048,68,47
18-OBR-YTBW-B5I-1049,90,65
18-OBR-YTBW-B5I-105,54,45
18-OBR-YTBW-B5I-1050,73,65
18-OBR-YTBW-B5I-1051,69,56
18-OBR-YTBW-B5I-1052,89,63
18-OBR-YTBW-B5I-1053,81,57
18-OBR-YTBW-B5I-1054,77,52
18-OBR-YTBW-B5I-1055,58,53
18-OBR-YTBW-B5I-1056,47,38
18-OBR-YTBW-B5I-1057,54,40
18-OBR-YTBW-B5I-1058,53,48
18-OBR-YTBW-B5I-1059,54,51
18-OBR-YTBW-B5I-106,45,41
18-OBR-YTBW-B5I-1060,60,53
18-OBR-YTBW-B5I-107,68,54
18-OBR-YTBW-B5I-108,71,46
18-OBR-YTBW-B5I-109,77,55
18-OBR-YTBW-B5I-110,70,50
18-OBR-YTBW-B5I-1101,54,47
18-OBR-YTBW-B5I-1102,43,37
18-OBR-YTBW-B5I-1103,38,33
18-OBR-YTBW-B5I-1104,54,38
18-OBR-YTBW-B5I-1105,37,38
18-OBR-YTBW-B5I-1106,63,44
18-OBR-YTBW-B5I-1107,63,41
18-OBR-YTBW-B5I-1108,77,59
18-OBR-YTBW-B5I-1109,65,51
18-OBR-YTBW-B5I-111,69,52
18-OBR-YTBW-B5I-1110,74,59
18-OBR-YTBW-B5I-1111,78,62
18-OBR-YTBW-B5I-1112,79,62
18-OBR-YTBW-B5I-1113,63,52
18-OBR-YTBW-B5I-1114,64,43
18-OBR-YTBW-B5I-1115,48,37
18-OBR-YTBW-B5I-1116,64,41
18-OBR-YTBW-B5I-1117,62,45
18-OBR-YTBW-B5I-1118,51,40
18-OBR-YTBW-B5I-1119,78,54
18-OBR-YTBW-B5I-112,92,70
18-OBR-YTBW-B5I-1120,71,51
18-OBR-YTBW-B5I-1121,77,49
18-OBR-YTBW-B5I-1122,87,54
18-OBR-YTBW-B5I-1123,90,50
18-OBR-YTBW-B5I-1124,59,44
18-OBR-YTBW-B5I-1125,58,38
18-OBR-YTBW-B5I-1126,52,37
18-OBR-YTBW-B5I-1127,58,44
18-OBR-YTBW-B5I-1128,49,36
18-OBR-YTBW-B5I-1129,50,36
18-OBR-YTBW-B5I-113,82,64
18-OBR-YTBW-B5I-1130,65,52
18-OBR-YTBW-B5I-1131,69,44
18-OBR-YTBW-B5I-1132,58,40
18-OBR-YTBW-B5I-1133,58,40
18-OBR-YTBW-B5I-1134,55,37
18-OBR-YTBW-B5I-1135,69,48
18-OBR-YTBW-B5I-1136,65,47
18-OBR-YTBW-B5I-1137,71,49
18-OBR-YTBW-B5I-1138,63,50
18-OBR-YTBW-B5I-1139,60,50
18-OBR-YTBW-B5I-114,79,65
18-OBR-YTBW-B5I-1140,47,44
18-OBR-YTBW-B5I-1141,73,48
18-OBR-YTBW-B5I-1142,78,50
18-OBR-YTBW-B5I-1143,79,39
18-OBR-YTBW-B5I-1144,63,43
18-OBR-YTBW-B5I-1145,58,42
18-OBR-YTBW-B5I-1146,55,36
18-OBR-YTBW-B5I-1147,59,35
18-OBR-YTBW-B5I-1148,65,40
18-OBR-YTBW-B5I-1149,63,42
18-OBR-YTBW-B5I-115,79,60
18-OBR-YTBW-B5I-1150,67,45
18-OBR-YTBW-B5I-1151,79,49
18-OBR-YTBW-B5I-1152,66,41
18-OBR-YTBW-B5I-1153,64,46
18-OBR-YTBW-B5I-1154,52,40
18-OBR-YTBW-B5I-1155,50,34
18-OBR-YTBW-B5I-1156,73,43
18-OBR-YTBW-B5I-1157,86,43
18-OBR-YTBW-B5I-1158,58,36
18-OBR-YTBW-B5I-1159,44,29
18-OBR-YTBW-B5I-116,73,54
18-OBR-YTBW-B5I-1160,41,34
18-OBR-YTBW-B5I-117,91,63
18-OBR-YTBW-B5I-118,81,57
18-OBR-YTBW-B5I-119,62,50
18-OBR-YTBW-B5I-120,71,52
18-OBR-YTBW-B5I-1201,49,37
18-OBR-YTBW-B5I-1202,46,35
18-OBR-YTBW-B5I-1203,73,49
18-OBR-YTBW-B5I-1204,97,51
