Plot_ID,Mean,Mode
18BYD20001,0.49,0.616
18BYD20002,0.453,0.599
18BYD20003,0.434,0.62
18BYD20004,0.475,0.63
18BYD20005,0.51,0.645
18BYD20006,0.505,0.627
18BYD20007,0.518,0.633
18BYD20008,0.494,0.634
18BYD20009,0.491,0.629
18BYD20010,0.506,0.646
18BYD20011,0.497,0.617
18BYD20012,0.472,0.625
18BYD20013,0.464,0.583
18BYD20014,0.481,0.63
18BYD20015,0.483,0.622
18BYD20016,0.526,0.606
18BYD20017,0.476,0.631
18BYD20018,0.461,0.631
18BYD20019,0.507,0.635
18BYD20020,0.547,0.651
18BYD20021,0.57,0.64
18BYD20022,0.5,0.652
18BYD20023,0.51,0.642
18BYD20024,0.523,0.647
18BYD20025,0.439,0.605
18BYD20026,0.534,0.632
18BYD20027,0.507,0.622
18BYD20028,0.537,0.644
18BYD20029,0.493,0.62
18BYD20030,0.492,0.638
18BYD20031,0.523,0.653
18BYD20032,0.557,0.649
18BYD20033,0.508,0.626
18BYD20034,0.536,0.655
18BYD20035,0.578,0.658
18BYD20036,0.485,0.62
18BYD20037,0.554,0.651
18BYD20038,0.598,0.652
18BYD20039,0.551,0.651
18BYD20040,0.531,0.644
18BYD20041,0.516,0.651
18BYD20042,0.551,0.64
18BYD20043,0.574,0.666
18BYD20044,0.518,0.641
18BYD20045,0.565,0.645
18BYD20046,0.595,0.671
18BYD20047,0.545,0.664
18BYD20048,0.526,0.657
18BYD20049,0.545,0.669
18BYD20050,0.556,0.635
18BYD20051,0.517,0.646
18BYD20052,0.569,0.675
18BYD20053,0.527,0.643
18BYD20054,0.566,0.666
18BYD20055,0.608,0.652
18BYD20056,0.575,0.645
18BYD20057,0.613,0.685
18BYD20058,0.581,0.674
18BYD20059,0.612,0.679
18BYD20060,0.602,0.665
18BYD20061,0.574,0.651
18BYD20062,0.575,0.656
18BYD20063,0.629,0.681
18BYD20064,0.608,0.664
18BYD20065,0.577,0.655
18BYD20066,0.62,0.665
18BYD20067,0.592,0.667
18BYD20068,0.613,0.665
18BYD20069,0.622,0.698
18BYD20070,0.607,0.671
18BYD20071,0.569,0.636
18BYD20072,0.601,0.653
18BYD20073,0.58,0.638
18BYD20074,0.624,0.676
18BYD20075,0.591,0.682
18BYD20076,0.576,0.688
18BYD20077,0.606,0.662
18BYD20078,0.595,0.694
18BYD20079,0.583,0.663
18BYD20080,0.648,0.68
18BYD20081,0.631,0.672
18BYD20082,0.567,0.663
18BYD20083,0.552,0.657
18BYD20084,0.561,0.65
18BYD20085,0.577,0.656
18BYD20086,0.637,0.695
18BYD20087,0.6,0.679
18BYD20088,0.594,0.659
18BYD20089,0.573,0.668
18BYD20090,0.562,0.656
18BYD20091,0.599,0.655
18BYD20092,0.635,0.67
18BYD20093,0.607,0.647
18BYD20094,0.593,0.679
18BYD20095,0.629,0.686
18BYD20096,0.594,0.67
18BYD20097,0.562,0.667
18BYD20098,0.521,0.66
18BYD20099,0.613,0.659
18BYD20100,0.593,0.649
18BYD20101,0.556,0.666
18BYD20102,0.496,0.63
18BYD20103,0.52,0.641
18BYD20104,0.598,0.685
18BYD20105,0.612,0.658
18BYD20106,0.584,0.662
18BYD20107,0.62,0.644
18BYD20108,0.6,0.65
18BYD20109,0.576,0.66
18BYD20110,0.579,0.66
18BYD20111,0.52,0.657
18BYD20112,0.523,0.649
18BYD20113,0.548,0.661
18BYD20114,0.479,0.668
18BYD20115,0.547,0.657
18BYD20116,0.511,0.633
18BYD20117,0.549,0.676
18BYD20118,0.596,0.67
18BYD20119,0.536,0.641
18BYD20120,0.517,0.652
18BYD20121,0.536,0.655
18BYD20122,0.637,0.671
18BYD20123,0.545,0.664
18BYD20124,0.563,0.658
18BYD20125,0.554,0.672
18BYD20126,0.57,0.663
18BYD20127,0.597,0.654
18BYD20128,0.611,0.666
18BYD20129,0.553,0.659
18BYD20130,0.538,0.639
18BYD20131,0.569,0.653
18BYD20132,0.612,0.666
18BYD20133,0.533,0.657
18BYD20134,0.562,0.661
18BYD20135,0.516,0.63
18BYD20136,0.553,0.652
18BYD20137,0.53,0.656
18BYD20138,0.515,0.641
18BYD20139,0.589,0.661
18BYD20140,0.587,0.676
18BYD20141,0.515,0.65
18BYD20142,0.598,0.663
18BYD20143,0.564,0.647
18BYD20144,0.634,0.676
18BYD20145,0.536,0.642
18BYD20146,0.547,0.631
18BYD20147,0.54,0.646
18BYD20148,0.52,0.626
18BYD20149,0.489,0.63
18BYD20150,0.536,0.628
18BYD20151,0.507,0.618
18BYD20152,0.482,0.64
18BYD20153,0.54,0.643
18BYD20154,0.516,0.668
18BYD20155,0.51,0.602
18BYD20156,0.473,0.62
18BYD20157,0.55,0.661
18BYD20158,0.596,0.655
18BYD20159,0.495,0.63
18BYD20160,0.588,0.66
18BYD20161,0.555,0.636
18BYD20162,0.593,0.655
18BYD20163,0.579,0.625
18BYD20164,0.529,0.625
18BYD20165,0.535,0.629
18BYD20166,0.533,0.649
18BYD20167,0.568,0.641
18BYD20168,0.542,0.633
18BYD20169,0.476,0.635
18BYD20170,0.502,0.636
18BYD20171,0.472,0.626
18BYD20172,0.515,0.616
18BYD20173,0.516,0.639
18BYD20174,0.485,0.616
18BYD20175,0.516,0.625
18BYD20176,0.486,0.635
18BYD20177,0.472,0.611
18BYD20178,0.491,0.623
18BYD20179,0.514,0.638
18BYD20180,0.551,0.639
18BYD20181,0.448,0.634
18BYD20182,0.534,0.637
18BYD20183,0.537,0.632
18BYD20184,0.588,0.669
18BYD20185,0.626,0.656
18BYD20186,0.621,0.674
18BYD20187,0.609,0.649
18BYD20188,0.559,0.641
18BYD20189,0.564,0.652
18BYD20190,0.579,0.657
18BYD20191,0.558,0.671
18BYD20192,0.528,0.645
18BYD20193,0.557,0.652
18BYD20194,0.566,0.651
18BYD20195,0.565,0.666
18BYD20196,0.497,0.649
18BYD20197,0.491,0.636
18BYD20198,0.5,0.647
18BYD20199,0.553,0.65
18BYD20200,0.559,0.658
18BYD20201,0.553,0.625
18BYD20202,0.517,0.654
18BYD20203,0.556,0.658
18BYD20204,0.579,0.661
18BYD20205,0.54,0.666
18BYD20206,0.556,0.659
18BYD20207,0.52,0.666
18BYD20208,0.538,0.659
18BYD20209,0.571,0.686
18BYD20210,0.564,0.667
18BYD20211,0.594,0.657
18BYD20212,0.607,0.666
18BYD20213,0.532,0.648
18BYD20214,0.571,0.627
18BYD20215,0.62,0.668
18BYD20216,0.536,0.662
18BYD20217,0.561,0.665
18BYD20218,0.577,0.66
18BYD20219,0.634,0.667
18BYD20220,0.597,0.669
18BYD20221,0.556,0.672
18BYD20222,0.609,0.673
18BYD20223,0.563,0.656
18BYD20224,0.559,0.662
18BYD20225,0.627,0.664
18BYD20226,0.593,0.657
18BYD20227,0.598,0.677
18BYD20228,0.588,0.692
18BYD20229,0.563,0.665
18BYD20230,0.594,0.673
18BYD20231,0.574,0.667
18BYD20232,0.615,0.673
18BYD20233,0.554,0.675
18BYD20234,0.567,0.67
18BYD20235,0.62,0.672
18BYD20236,0.598,0.667
18BYD20237,0.59,0.68
18BYD20238,0.588,0.665
18BYD20239,0.612,0.671
18BYD20240,0.615,0.665
18BYD20241,0.551,0.648
18BYD20242,0.576,0.678
