Plot_ID,Mean,Mode,Range,Column,NonZeroCount,H_Distance,V_Distance,H_Degree,V_Degree,Original_File,Plot_Center_Longitude,Plot_Center_Latitude,Camera_Longitude,Camera_Latitude,Time_Stamp
18BYD20001,0.711,0.796,2,43,12085,7.78,15.70,122.85,26.35,20180516_192320_IMG_0099_1.tif,-96.61977811,39.13198608,-96.61982490,39.13204590,192320
18BYD20001,0.711,0.804,2,43,12117,6.81,15.90,105.46,23.18,20180516_192322_IMG_0100_1.tif,-96.61977811,39.13198608,-96.61979710,39.13204560,192322
18BYD20001,0.737,0.771,2,43,12008,6.62,15.70,81.11,22.85,20180516_192323_IMG_0101_1.tif,-96.61977811,39.13198608,-96.61976430,39.13204470,192323
18BYD20001,0.760,0.786,2,43,11794,7.52,15.20,58.80,26.33,20180516_192324_IMG_0102_1.tif,-96.61977811,39.13198608,-96.61973110,39.13204310,192324
18BYD20001,0.712,0.746,2,43,12417,4.27,17.40,26.48,13.77,20180516_192424_IMG_0143_1.tif,-96.61977811,39.13198608,-96.61973340,39.13200230,192424
18BYD20001,0.688,0.774,2,43,12650,2.15,16.80,59.08,7.28,20180516_192425_IMG_0144_1.tif,-96.61977811,39.13198608,-96.61976480,39.13200240,192425
18BYD20001,0.672,0.756,2,43,12603,2.19,16.60,126.33,7.53,20180516_192426_IMG_0145_1.tif,-96.61977811,39.13198608,-96.61979260,39.13200230,192426
18BYD20001,0.634,0.711,2,43,12682,3.27,16.90,-151.89,10.94,20180516_192544_IMG_0201_1.tif,-96.61977811,39.13198608,-96.61981190,39.13197290,192544
18BYD20001,0.639,0.659,2,43,12752,1.50,16.50,-90.78,5.19,20180516_192546_IMG_0202_1.tif,-96.61977811,39.13198608,-96.61977880,39.13197260,192546
18BYD20001,0.682,0.705,2,43,12526,3.13,16.70,-27.81,10.60,20180516_192546_IMG_0203_1.tif,-96.61977811,39.13198608,-96.61974660,39.13197230,192546
18BYD20001,0.715,0.750,2,43,12122,5.77,16.80,-14.46,18.94,20180516_192549_IMG_0204_1.tif,-96.61977811,39.13198608,-96.61971400,39.13197180,192549
18BYD20001,0.721,0.765,2,43,12393,10.01,7.40,-54.87,53.53,20180516_194627_IMG_0015_1.tif,-96.61977811,39.13198608,-96.61971400,39.13191100,194627
18BYD20001,0.689,0.767,2,43,12540,9.91,7.20,-71.03,54.01,20180516_194629_IMG_0016_1.tif,-96.61977811,39.13198608,-96.61974370,39.13190090,194629
18BYD20001,0.665,0.761,2,43,12433,10.72,6.90,-88.49,57.24,20180516_194630_IMG_0017_1.tif,-96.61977811,39.13198608,-96.61977810,39.13188950,194630
18BYD20002,0.744,0.817,2,42,11497,7.07,15.70,110.52,24.24,20180516_192320_IMG_0099_1.tif,-96.61979827,39.13198572,-96.61982490,39.13204590,192320
18BYD20002,0.767,0.780,2,42,11376,7.18,15.70,67.34,24.57,20180516_192323_IMG_0101_1.tif,-96.61979827,39.13198572,-96.61976430,39.13204470,192323
18BYD20002,0.741,0.749,2,42,11711,5.90,17.40,19.67,18.74,20180516_192424_IMG_0143_1.tif,-96.61979827,39.13198572,-96.61973340,39.13200230,192424
18BYD20002,0.724,0.768,2,42,11986,3.44,16.80,34.12,11.56,20180516_192425_IMG_0144_1.tif,-96.61979827,39.13198572,-96.61976480,39.13200240,192425
