plot_id,mean20181003,mean20181011,mean20181021,mean20181103
19BYD20001,0.367,0.609,0.972,0.993
19BYD20002,0.255,0.402,0.908,0.991
19BYD20003,0.309,0.518,0.943,0.994
19BYD20004,0.269,0.474,0.909,0.965
19BYD20005,0.261,0.453,0.88,0.987
19BYD20006,0.231,0.418,0.878,0.974
19BYD20007,0.372,0.632,0.947,0.982
19BYD20008,0.35,0.552,0.945,0.991
19BYD20009,0.327,0.534,0.951,0.995
19BYD20010,0.218,0.475,0.868,0.965
19BYD20011,0.365,0.66,0.944,0.984
19BYD20012,0.179,0.333,0.666,0.919
19BYD20013,0.261,0.473,0.86,0.981
19BYD20014,0.344,0.663,0.975,0.995
19BYD20015,0.305,0.57,0.931,0.988
19BYD20016,0.319,0.591,0.941,0.985
19BYD20017,0.349,0.634,0.945,0.989
19BYD20018,0.342,0.515,0.847,0.96
19BYD20019,0.218,0.41,0.79,0.957
19BYD20020,0.347,0.6,0.956,0.991
19BYD20021,0.353,0.624,0.962,0.996
19BYD20022,0.377,0.703,0.975,0.994
19BYD20023,0.292,0.503,0.922,0.97
19BYD20024,0.271,0.523,0.936,0.993
19BYD20025,0.293,0.5,0.921,0.979
19BYD20026,0.32,0.55,0.939,0.995
19BYD20027,0.329,0.602,0.954,0.986
19BYD20028,0.322,0.592,0.947,0.973
19BYD20029,0.328,0.576,0.937,0.984
19BYD20030,0.258,0.452,0.877,0.977
19BYD20031,0.403,0.674,0.927,0.995
19BYD20032,0.292,0.477,0.915,0.989
19BYD20033,0.357,0.638,0.968,0.991
19BYD20034,0.295,0.463,0.854,0.968
19BYD20035,0.346,0.613,0.95,0.997
19BYD20036,0.324,0.572,0.947,0.989
19BYD20037,0.36,0.61,0.928,0.988
19BYD20038,0.25,0.499,0.854,0.958
19BYD20039,0.374,0.619,0.926,0.986
19BYD20040,0.326,0.593,0.943,0.991
19BYD20041,0.319,0.599,0.932,0.982
19BYD20042,0.258,0.527,0.894,0.969
19BYD20043,0.267,0.529,0.893,0.963
19BYD20044,0.291,0.52,0.891,0.963
19BYD20045,0.334,0.597,0.955,0.992
19BYD20046,0.276,0.469,0.902,0.989
19BYD20047,0.253,0.448,0.85,0.971
19BYD20048,0.355,0.57,0.954,0.997
19BYD20049,0.34,0.488,0.924,0.976
19BYD20050,0.299,0.504,0.906,0.973
19BYD20051,0.306,0.466,0.818,0.944
19BYD20052,0.376,0.641,0.945,0.98
19BYD20053,0.295,0.501,0.909,0.986
19BYD20054,0.297,0.475,0.907,0.983
19BYD20055,0.336,0.559,0.935,0.972
19BYD20056,0.276,0.468,0.902,0.974
19BYD20057,0.322,0.53,0.934,0.976
19BYD20058,0.313,0.532,0.921,0.978
19BYD20059,0.288,0.473,0.907,0.964
19BYD20060,0.268,0.425,0.902,0.989
19BYD20061,0.338,0.532,0.939,0.994
19BYD20062,0.272,0.489,0.898,0.968
19BYD20063,0.284,0.517,0.889,0.955
19BYD20064,0.339,0.578,0.949,0.984
19BYD20065,0.372,0.71,0.985,0.997
19BYD20066,0.297,0.561,0.933,0.992
19BYD20067,0.319,0.591,0.944,0.995
19BYD20068,0.281,0.493,0.919,0.984
19BYD20069,0.333,0.558,0.909,0.983
19BYD20070,0.255,0.502,0.884,0.972
19BYD20071,0.291,0.521,0.862,0.914
19BYD20072,0.324,0.558,0.909,0.98
19BYD20073,0.34,0.614,0.951,0.989
19BYD20074,0.341,0.633,0.948,0.992
19BYD20075,0.269,0.505,0.883,0.972
19BYD20076,0.36,0.605,0.962,0.996
19BYD20077,0.303,0.446,0.931,0.99
19BYD20078,0.317,0.471,0.915,0.988
19BYD20079,0.297,0.525,0.912,0.966
19BYD20080,0.399,0.601,0.943,0.987
19BYD20081,0.274,0.482,0.931,0.996
19BYD20082,0.309,0.491,0.951,0.991
19BYD20083,0.334,0.611,0.936,0.973
19BYD20084,0.348,0.623,0.948,0.982
19BYD20085,0.337,0.579,0.939,0.98
19BYD20086,0.345,0.571,0.935,0.982
19BYD20087,0.364,0.557,0.905,0.977
19BYD20088,0.314,0.535,0.95,0.997
19BYD20089,0.337,0.613,0.957,0.99
19BYD20090,0.277,0.521,0.897,0.971
19BYD20091,0.311,0.556,0.936,0.986
19BYD20092,0.267,0.44,0.866,0.985
19BYD20093,0.362,0.626,0.962,0.995
19BYD20094,0.268,0.447,0.881,0.981
19BYD20095,0.312,0.545,0.928,0.987
19BYD20096,0.359,0.663,0.961,0.996
19BYD20097,0.346,0.623,0.94,0.985
19BYD20098,0.253,0.483,0.854,0.961
19BYD20099,0.254,0.483,0.831,0.946
19BYD20100,0.27,0.498,0.918,0.99
19BYD20101,0.3,0.532,0.91,0.987
19BYD20102,0.28,0.559,0.922,0.985
19BYD20103,0.281,0.435,0.848,0.958
19BYD20104,0.294,0.454,0.871,0.971
19BYD20105,0.301,0.522,0.922,0.988
19BYD20106,0.334,0.608,0.959,0.994
19BYD20107,0.329,0.537,0.914,0.97
19BYD20108,0.271,0.48,0.877,0.969
19BYD20109,0.328,0.582,0.971,0.996
19BYD20110,0.338,0.558,0.946,0.994
19BYD20111,0.347,0.696,0.975,0.995
19BYD20112,0.329,0.645,0.935,0.98
19BYD20113,0.296,0.499,0.876,0.949
19BYD20114,0.337,0.583,0.946,0.988
19BYD20115,0.372,0.685,0.948,0.988
19BYD20116,0.257,0.472,0.87,0.985
19BYD20117,0.292,0.517,0.917,0.99
19BYD20118,0.333,0.526,0.932,0.976
19BYD20119,0.34,0.577,0.932,0.988
19BYD20120,0.282,0.543,0.926,0.991
19BYD20121,0.331,0.572,0.949,0.997
19BYD20122,0.248,0.426,0.845,0.962
19BYD20123,0.259,0.483,0.838,0.958
19BYD20124,0.292,0.488,0.901,0.983
19BYD20125,0.318,0.567,0.898,0.974
19BYD20126,0.265,0.472,0.851,0.936
19BYD20127,0.258,0.437,0.808,0.908
19BYD20128,0.29,0.557,0.874,0.964
19BYD20129,0.317,0.541,0.918,0.976
19BYD20130,0.326,0.59,0.936,0.985
19BYD20131,0.271,0.464,0.784,0.888
19BYD20132,0.311,0.555,0.913,0.987
19BYD20133,0.297,0.542,0.946,0.991
19BYD20134,0.293,0.416,0.893,0.977
19BYD20135,0.239,0.385,0.819,0.947
19BYD20136,0.27,0.503,0.902,0.986
19BYD20137,0.326,0.558,0.951,0.994
19BYD20138,0.309,0.512,0.92,0.991
19BYD20139,0.329,0.551,0.925,0.952
19BYD20140,0.301,0.63,0.939,0.981
19BYD20141,0.338,0.615,0.942,0.984
19BYD20142,0.321,0.635,0.939,0.975
19BYD20143,0.36,0.612,0.965,0.995
19BYD20144,0.293,0.491,0.922,0.992
19BYD20145,0.238,0.437,0.918,0.977
