plot_id,source_seed_id,range,column,plot_name,location,notes,planting_date,person,rep,block,purpose,experiment_id,entry,serp_order,planting_side,planting_order,planting_direction,planting_pass,treatment,pedigree
19BYD20496,17ASH50001,12,25,Art,19ASH,,2018-09-17,jesse_poland,3,12,CHECK,19-ASH-BYD2,,410,716,RETURN,26,,Treated,ART
19BYD20488,17ASH50001,11,28,Art,19ASH,,2018-09-17,jesse_poland,3,11,CHECK,19-ASH-BYD2,,356,796,GO,29,,Treated,ART
19BYD20475,17ASH50001,10,18,Art,19ASH,,2018-09-17,jesse_poland,3,10,CHECK,19-ASH-BYD2,,339,515,GO,19,,Treated,ART
19BYD20460,17ASH50001,9,28,Art,19ASH,,2018-09-17,jesse_poland,3,9,CHECK,19-ASH-BYD2,,292,794,GO,29,,Treated,ART
19BYD20429,17ASH50001,7,25,Art,19ASH,,2018-09-17,jesse_poland,3,7,CHECK,19-ASH-BYD2,,231,721,RETURN,26,,Treated,ART
19BYD20396,17ASH50001,5,20,Art,19ASH,,2018-09-17,jesse_poland,3,5,CHECK,19-ASH-BYD2,,172,566,GO,21,,Treated,ART
19BYD20384,17ASH50001,4,25,Art,19ASH,,2018-09-17,jesse_poland,3,4,CHECK,19-ASH-BYD2,,154,724,RETURN,26,,Treated,ART
19BYD20368,17ASH50001,3,20,Art,19ASH,,2018-09-17,jesse_poland,3,3,CHECK,19-ASH-BYD2,,108,564,GO,21,,Treated,ART
19BYD20354,17ASH50001,2,27,Art,19ASH,,2018-09-17,jesse_poland,3,2,CHECK,19-ASH-BYD2,,92,782,RETURN,28,,Treated,ART
19BYD20340,17ASH50001,1,20,Art,19ASH,,2018-09-17,jesse_poland,3,1,CHECK,19-ASH-BYD2,,44,562,GO,21,,Treated,ART
19BYD20331,17ASH50001,26,6,Art,19ASH,,2018-09-17,jesse_poland,2,26,CHECK,19-ASH-BYD2,,839,195,GO,7,,Treated,ART
19BYD20321,17ASH50001,25,13,Art,19ASH,,2018-09-17,jesse_poland,2,25,CHECK,19-ASH-BYD2,,819,367,RETURN,14,,Treated,ART
19BYD20298,17ASH50001,24,11,Art,19ASH,,2018-09-17,jesse_poland,2,24,CHECK,19-ASH-BYD2,,780,312,RETURN,12,,Treated,ART
19BYD20286,17ASH50001,23,6,Art,19ASH,,2018-09-17,jesse_poland,2,23,CHECK,19-ASH-BYD2,,762,192,GO,7,,Treated,ART
19BYD20273,17ASH50001,22,8,Art,19ASH,,2018-09-17,jesse_poland,2,22,CHECK,19-ASH-BYD2,,713,247,GO,9,,Treated,ART
19BYD20241,17ASH50001,20,12,Art,19ASH,,2018-09-17,jesse_poland,2,20,CHECK,19-ASH-BYD2,,653,357,GO,13,,Treated,ART
19BYD20231,17ASH50001,19,7,Art,19ASH,,2018-09-17,jesse_poland,2,19,CHECK,19-ASH-BYD2,,633,205,RETURN,8,,Treated,ART
19BYD20220,17ASH50001,18,5,Art,19ASH,,2018-09-17,jesse_poland,2,18,CHECK,19-ASH-BYD2,,582,150,RETURN,6,,Treated,ART
19BYD20190,17ASH50001,16,7,Art,19ASH,,2018-09-17,jesse_poland,2,16,CHECK,19-ASH-BYD2,,520,208,RETURN,8,,Treated,ART
19BYD20178,17ASH50001,15,10,Art,19ASH,,2018-09-17,jesse_poland,2,15,CHECK,19-ASH-BYD2,,502,296,GO,11,,Treated,ART
19BYD2-F-2715,17ASH50001,27,15,Art,19ASH,,2018-09-17,jesse_poland,2,27,Border,19-ASH-BYD2,,881,421,RETURN,16,,Treated,ART
19BYD2-F-2615,17ASH50001,26,15,Art,19ASH,,2018-09-17,jesse_poland,2,26,Border,19-ASH-BYD2,,848,422,RETURN,16,,Treated,ART
19BYD2-F-2415,17ASH50001,24,15,Art,19ASH,,2018-09-17,jesse_poland,2,24,Border,19-ASH-BYD2,,784,424,RETURN,16,,Treated,ART
19BYD2-F-2515,17ASH50001,25,15,Art,19ASH,,2018-09-17,jesse_poland,2,25,Border,19-ASH-BYD2,,817,423,RETURN,16,,Treated,ART
19BYD2-F-2315,17ASH50001,23,15,Art,19ASH,,2018-09-17,jesse_poland,2,23,Border,19-ASH-BYD2,,753,425,RETURN,16,,Treated,ART
19BYD2-F-2115,17ASH50001,21,15,Art,19ASH,,2018-09-17,jesse_poland,2,21,Border,19-ASH-BYD2,,689,427,RETURN,16,,Treated,ART
